timestep,average_reward
100,-4.034022
200,-16.417034
300,-10.547764
400,-4.038252
500,-9.133639
600,-8.322207
700,-7.3841248
800,-6.2714653
900,-4.2019486
1000,-7.4773145
1100,-8.425841
1200,-10.393498
1300,-9.5376835
1400,-4.538374
1500,-9.624377
1600,-4.207781
1700,-10.742014
1800,-6.271186
1900,-4.2120466
2000,-10.479209
2100,-11.756078
2200,-10.057421
2300,-12.101753
2400,-10.134941
2500,-10.808086
2600,-4.8001328
2700,-10.981819
2800,-10.797628
2900,-4.5706778
3000,-11.91976
3100,-11.504272
3200,-11.034024
3300,-4.7757435
3400,-10.706408
3500,-8.554555
3600,-10.945331
3700,-8.656202
3800,-8.76136
3900,-7.7277813
4000,-11.052896
4100,-4.5452633
4200,-10.210729
4300,-8.393954
4400,-11.259453
4500,-9.402906
4600,-9.839257
4700,-9.244609
4800,-10.71119
4900,-5.319271
5000,-4.547352
5100,-8.395257
5200,-10.434659
5300,-8.264498
5400,-8.585701
5500,-9.1286955
5600,-10.918796
5700,-8.918353
5800,-3.879325
5900,-4.8589253
6000,-10.229032
6100,-8.949679
6200,-9.038016
6300,-10.002647
6400,-4.0410304
6500,-4.6525054
6600,-3.8547544
6700,-10.266707
6800,-4.665843
6900,-10.74769
7000,-10.679605
7100,-8.465567
7200,-4.442165
7300,-3.9692316
7400,-4.8995423
7500,-10.584891
7600,-10.157729
7700,-11.489681
7800,-10.575951
7900,-11.138995
8000,-4.371796
8100,-5.028076
8200,-4.476275
8300,-5.0738206
8400,-4.6659813
8500,-10.190971
8600,-5.5081763
8700,-5.2875123
8800,-12.342063
8900,-4.693877
9000,-12.302822
9100,-5.714307
9200,-4.5378013
9300,-11.033879
9400,-10.749581
9500,-11.864635
9600,-11.138095
9700,-5.2600884
9800,-4.9941797
9900,-9.928908
10000,-5.4246373
10100,-12.209332
10200,-5.6399508
10300,-12.179386
10400,-5.534302
10500,-11.49376
10600,-11.947373
10700,-10.062013
10800,-12.780724
10900,-11.824169
11000,-5.587513
11100,-5.346326
11200,-12.976797
11300,-5.9328065
11400,-9.940453
11500,-10.167484
11600,-11.289421
11700,-5.7515106
11800,-10.114379
11900,-11.521069
12000,-10.073548
12100,-11.246831
12200,-10.102701
12300,-6.23834
12400,-11.449228
12500,-5.5433173
12600,-5.8228254
12700,-12.796203
12800,-12.313294
12900,-10.899522
13000,-6.25448
13100,-12.909818
13200,-12.299081
13300,-6.263922
13400,-11.411766
13500,-10.205813
13600,-11.283465
13700,-5.509743
13800,-10.203473
13900,-11.75889
14000,-12.770308
14100,-5.7438436
14200,-5.634931
14300,-11.483537
14400,-10.733912
14500,-5.783127
14600,-6.1836376
14700,-11.448999
14800,-6.200466
14900,-9.859496
15000,-11.053725
15100,-12.307849
15200,-6.1837964
15300,-5.7322373
15400,-9.888096
15500,-9.908979
15600,-10.666277
15700,-12.477113
15800,-12.564243
15900,-12.708797
16000,-11.24115
16100,-10.630379
16200,-12.649641
16300,-12.271468
16400,-9.95654
16500,-5.484926
16600,-12.3292265
16700,-12.510591
16800,-12.42281
16900,-11.537134
17000,-11.847015
17100,-11.740853
17200,-11.920057
17300,-5.771059
17400,-10.241992
17500,-5.538925
17600,-6.19417
17700,-11.795067
17800,-5.66487
17900,-12.064314
18000,-11.731558
18100,-9.838032
18200,-5.789415
18300,-12.096188
18400,-5.8224
18500,-5.7526197
18600,-5.5983033
18700,-6.2167444
18800,-5.514738
18900,-11.115384
19000,-6.1571813
19100,-5.5182405
19200,-5.6150317
19300,-11.995705
19400,-12.309386
19500,-11.275377
19600,-5.7425737
19700,-12.028081
19800,-11.866564
19900,-5.5390186
20000,-11.389078
20100,-10.815189
20200,-5.5422554
20300,-11.859832
20400,-12.134324
20500,-5.6522517
20600,-10.790021
20700,-11.79295
20800,-9.671546
