timestep,average_reward
100,-6.8808455
200,-8.911152
300,-9.959628
400,-4.645277
500,-5.31956
600,-3.8399742
700,-9.486279
800,-8.800697
900,-6.0526733
1000,-7.250734
1100,-5.5055757
1200,-9.826435
1300,-9.285846
1400,-2.9636512
1500,-6.4879217
1600,-5.2165985
1700,-8.454502
1800,-10.00949
1900,-11.600068
2000,-4.518853
2100,-4.968089
2200,-3.5716214
2300,-5.686536
2400,-7.622033
2500,-4.1569185
2600,-3.4588745
2700,-4.592295
2800,-8.359251
2900,-7.6626186
3000,-6.227213
3100,-2.3625808
3200,-7.600135
3300,-5.2991967
3400,-7.3410296
3500,-3.741705
3600,-5.8897114
3700,-3.6714728
3800,-4.723105
3900,-4.212699
4000,-8.412314
4100,-8.706123
4200,-4.628277
4300,-5.503961
4400,-3.595952
4500,-2.8403785
4600,-3.727008
4700,-7.1865325
4800,-6.121563
4900,-5.0344405
5000,-5.303797
5100,-3.2416775
5200,-5.090679
5300,-2.8854795
5400,-3.4435434
5500,-5.2128553
5600,-5.995131
5700,-3.3001251
5800,-6.9932647
5900,-5.181165
6000,-6.1587152
6100,-4.284414
6200,-3.5647416
6300,-6.009406
6400,-3.5434487
6500,-2.7183552
6600,-3.9920661
6700,-2.76119
6800,-3.338311
6900,-5.25273
7000,-2.5283742
7100,-4.0132694
7200,-3.7176986
7300,-4.67736
7400,-4.2708335
7500,-3.1812668
7600,-2.8786142
7700,-4.5565424
7800,-3.9349313
7900,-3.1179266
8000,-2.9125717
8100,-2.544454
8200,-3.945134
8300,-2.8823485
8400,-2.4118683
8500,-2.376027
8600,-2.5342996
8700,-3.074497
8800,-2.6393251
8900,-3.5220258
9000,-2.4483306
9100,-3.418939
9200,-2.334267
9300,-4.40852
9400,-2.4286218
9500,-3.9542763
9600,-3.3340578
9700,-3.411744
9800,-2.8127685
9900,-2.4797912
10000,-2.78687
10100,-2.8958383
10200,-2.7254336
10300,-3.7603197
10400,-3.3069172
10500,-3.0393994
10600,-3.1358545
10700,-2.5744007
10800,-2.5441263
10900,-2.6986356
11000,-3.7757902
11100,-3.082309
11200,-4.3325944
11300,-4.386108
11400,-2.7284656
11500,-3.2994416
11600,-3.27638
11700,-3.0910022
11800,-3.2169056
11900,-3.151248
12000,-2.7436996
12100,-4.381687
12200,-3.1706665
12300,-3.7595377
12400,-2.8332353
12500,-3.0071807
12600,-3.8701458
12700,-2.8383384
12800,-2.684481
12900,-2.3677824
13000,-2.3994668
13100,-2.695278
13200,-2.5340252
13300,-2.4680414
13400,-3.5018823
13500,-2.3402712
13600,-4.3169875
13700,-3.5813055
13800,-2.7688568
13900,-5.9218364
14000,-4.022099
14100,-2.9167514
14200,-4.0551195
14300,-5.0652623
14400,-4.0448103
14500,-2.988913
14600,-2.2975907
14700,-4.4974346
14800,-2.6592004
14900,-3.4763634
15000,-4.0794673
15100,-3.9250693
15200,-2.3307981
15300,-3.4950118
15400,-3.8644266
15500,-4.013733
15600,-2.88101
15700,-2.55394
15800,-4.3400655
15900,-2.8058703
16000,-2.3689094
16100,-4.8143477
16200,-3.8518271
16300,-3.7124085
16400,-2.8775904
16500,-3.0288138
16600,-2.5016105
16700,-3.545434
16800,-2.394581
16900,-3.023912
17000,-2.5238419
17100,-3.1204014
17200,-3.4785483
17300,-2.1482563
17400,-3.123173
17500,-2.0786088
17600,-3.2779877
17700,-1.9926822
17800,-2.0256903
17900,-2.4314308
18000,-2.9873166
18100,-2.5304368
18200,-3.059915
18300,-2.6318755
18400,-3.8968613
18500,-2.4496822
18600,-2.0244858
18700,-2.586843
18800,-2.0818536
18900,-3.008385
19000,-2.2695975
19100,-2.6942935
19200,-3.2355797
19300,-3.0015597
19400,-3.1445239
19500,-3.2146919
19600,-2.3049176
19700,-2.2511256
19800,-3.9214268
19900,-3.0606065
20000,-3.2457025
20100,-2.6747935
20200,-2.810569
20300,-2.6127067
20400,-2.0578785
20500,-2.519639
20600,-2.074831
20700,-1.9927127
20800,-2.6502404
20900,-2.0780783
21000,-2.5044854
21100,-2.6102219
21200,-2.851892
21300,-2.0419233
21400,-3.0704284
21500,-2.8895974
21600,-2.1543114
21700,-2.4086869
21800,-2.4142044
21900,-1.9092853
22000,-2.2525349
22100,-2.0180242
22200,-2.4747095
22300,-3.0775998
22400,-2.3061879
