timestep,average_reward
100,-8.03875
200,-5.2841015
300,-13.076364
400,-6.264557
500,-6.8415112
600,-10.332378
700,-9.342305
800,-9.478235
900,-4.767874
1000,-4.9183855
1100,-11.012217
1200,-3.3995368
1300,-3.5473678
1400,-4.8785334
1500,-11.387587
1600,-8.248846
1700,-8.0907755
1800,-10.754202
1900,-9.928698
2000,-9.961303
2100,-5.204584
2200,-9.856899
2300,-2.8114734
2400,-10.92333
2500,-6.642722
2600,-7.504253
2700,-3.532713
2800,-4.682336
2900,-4.2527623
3000,-11.009138
3100,-7.185693
3200,-8.67091
3300,-7.7600965
3400,-6.0156994
3500,-7.8697333
3600,-4.8199577
3700,-6.456537
3800,-5.724189
3900,-8.5254
4000,-2.9125109
4100,-4.3369675
4200,-9.093753
4300,-4.6807094
4400,-8.897942
4500,-9.131259
4600,-3.6647456
4700,-9.723434
4800,-3.0118637
4900,-6.492056
5000,-7.172677
5100,-5.9715276
5200,-4.837568
5300,-5.219649
5400,-8.6048565
5500,-10.241803
5600,-6.318079
5700,-4.9561715
5800,-4.376643
5900,-10.090386
6000,-6.805815
6100,-8.633484
6200,-8.851309
6300,-7.66175
6400,-6.6747494
6500,-9.035862
6600,-7.025597
6700,-3.2412367
6800,-7.1671357
6900,-5.754794
7000,-9.112562
7100,-5.570038
7200,-9.381162
7300,-5.1049504
7400,-4.5818586
7500,-6.0195293
7600,-5.5902123
7700,-8.451267
7800,-6.3216095
7900,-7.2840853
8000,-7.447188
8100,-9.563377
8200,-5.1449547
8300,-8.538873
8400,-5.5297437
8500,-5.362652
8600,-6.885829
8700,-4.6169367
8800,-3.7756827
8900,-2.8458831
9000,-6.5523643
9100,-2.2775736
9200,-6.356229
9300,-4.800404
9400,-5.8581266
9500,-4.407117
9600,-3.239649
9700,-3.5489118
9800,-5.042145
9900,-4.415738
10000,-7.698142
10100,-3.0882092
10200,-10.075
10300,-7.9960046
10400,-7.662057
10500,-5.933866
10600,-9.115835
10700,-7.9044714
10800,-3.489438
10900,-3.0980854
11000,-3.92852
11100,-6.666279
11200,-7.873427
11300,-2.4267921
11400,-5.7929473
11500,-9.345248
11600,-3.659192
11700,-9.682119
11800,-4.7944245
11900,-7.790783
12000,-3.4520013
12100,-8.674475
12200,-3.546115
12300,-4.530714
12400,-5.6391754
12500,-4.37655
12600,-5.1777883
12700,-3.8859704
12800,-4.541802
12900,-8.835267
13000,-5.0167394
13100,-4.5601683
13200,-6.437049
13300,-10.6726265
13400,-6.6042285
13500,-5.6620107
13600,-3.579131
13700,-6.7171574
13800,-4.169224
13900,-7.376452
14000,-8.773995
14100,-5.945156
14200,-3.2439792
14300,-3.0138388
14400,-9.9000635
14500,-5.9968433
14600,-3.2196124
14700,-4.116749
14800,-3.6000257
14900,-3.387924
15000,-7.0181956
15100,-5.8479314
15200,-4.83435
15300,-3.038015
15400,-7.8417234
15500,-6.6193767
15600,-5.507105
15700,-6.8498173
15800,-4.217169
15900,-4.9010973
16000,-4.0231266
16100,-7.4128633
16200,-9.535252
16300,-5.668217
16400,-5.9598284
16500,-4.003726
16600,-3.4095004
16700,-7.8064027
16800,-3.4524
16900,-4.4074874
17000,-5.013077
17100,-7.309491
17200,-5.143345
17300,-9.37991
17400,-6.9137464
17500,-5.4158
17600,-4.0429516
17700,-4.0164933
17800,-5.625637
17900,-5.26271
18000,-6.3164754
18100,-8.415063
18200,-4.6686482
18300,-3.0939734
18400,-5.297509
18500,-3.351819
18600,-3.1708279
18700,-6.150223
18800,-8.054992
18900,-3.1971285
19000,-6.715084
19100,-5.412732
19200,-5.536246
19300,-3.352173
19400,-3.5145304
19500,-3.130167
19600,-5.165026
19700,-4.2359943
19800,-4.4664207
19900,-4.358331
20000,-3.7838645
20100,-3.8675184
20200,-9.108764
20300,-2.6605036
20400,-7.6298785
20500,-6.4259343
20600,-7.1655564
20700,-6.185849
20800,-4.7833066
20900,-4.813701
21000,-7.233307
21100,-5.049983
21200,-5.7748976
21300,-9.121416
21400,-6.061902
21500,-3.9806237
21600,-3.0620298
21700,-5.0270305
21800,-4.442703
21900,-6.1726546
22000,-3.1312063
22100,-5.7020063
22200,-4.463621
22300,-3.1505923
22400,-3.2763665
22500,-5.818031
22600,-4.104578
22700,-4.049765
22800,-6.0686836
22900,-4.8008285
23000,-6.124994
23100,-5.9854045
23200,-7.9885693
23300,-4.2965856
23400,-3.7767136
23500,-5.6233273
23600,-4.608338
23700,-6.6087327
23800,-6.201821
23900,-2.9820263
24000,-3.9878085
24100,-5.3988204
24200,-3.9965038
24300,-4.4467626
24400,-4.2093444
24500,-5.7221546
24600,-2.9028966
24700,-4.849799
24800,-6.5909376
24900,-2.706875
25000,-3.1527958
25100,-4.8016977
25200,-2.991156
25300,-6.2928815
25400,-4.414296
25500,-5.836491
25600,-4.654297
25700,-3.013362
25800,-3.21509
25900,-4.143398
26000,-6.898955
26100,-8.270927
26200,-4.9660826
26300,-3.676444
26400,-5.2731295
26500,-4.9808216
26600,-6.4361963
26700,-3.9956913
26800,-6.2739186
26900,-4.009266
27000,-3.768119
27100,-6.90322
27200,-5.505993
27300,-3.8886063
27400,-5.267921
27500,-4.9398947
27600,-3.7001472
27700,-4.9265556
27800,-9.014839
27900,-7.6821833
28000,-4.6787367
28100,-3.3877137
28200,-3.7297375
28300,-3.0889158
28400,-4.696514
28500,-2.8958204
28600,-8.950942
28700,-3.840401
28800,-7.3613625
28900,-5.9360313
29000,-5.757418
29100,-3.805332
29200,-5.14064
29300,-5.008374
29400,-3.1925464
29500,-6.975052
29600,-3.4940047
29700,-7.340157
29800,-7.1714
29900,-5.7587986
30000,-4.8062043
30100,-3.7946198
30200,-4.2954392
30300,-6.9425597
30400,-4.639187
30500,-4.126338
30600,-3.9184272
30700,-4.7168126
30800,-3.4423046
30900,-7.8690004
31000,-4.8718286
31100,-2.675933
31200,-5.041515
31300,-3.641651
31400,-5.256988
31500,-3.3263083
31600,-6.493624
31700,-2.5144157
31800,-6.3660865
31900,-5.3012195
32000,-4.9450917
32100,-5.5376987
32200,-4.9868464
32300,-4.1696143
32400,-6.4803147
32500,-4.151129
32600,-2.7813265
32700,-5.7977343
32800,-6.307452
32900,-4.5731516
33000,-4.1167297
33100,-5.969655
33200,-6.049097
33300,-6.250469
33400,-2.7565544
33500,-6.4161687
33600,-4.3168387
33700,-4.064502
33800,-3.1095362
33900,-4.3478737
34000,-2.9732032
34100,-7.891046
34200,-4.690935
34300,-7.3245215
34400,-3.579353
34500,-7.0065627
34600,-4.9812713
34700,-3.5590887
34800,-5.550391
34900,-6.143165
35000,-8.3247795
35100,-4.316532
35200,-5.3717127
35300,-5.273453
35400,-4.2787776
35500,-3.6604178
35600,-3.787723
35700,-3.278902
35800,-5.9169793
35900,-4.582091
36000,-3.479647
36100,-4.5110183
36200,-4.439116
36300,-2.7460008
36400,-5.3463717
36500,-2.630288
36600,-4.899196
36700,-4.92294
36800,-5.304096
36900,-3.4058347
37000,-5.669329
37100,-4.601282
37200,-3.3352435
37300,-3.111862
37400,-3.6837003
37500,-4.745239
37600,-3.3136966
37700,-2.6168199
37800,-3.152574
37900,-4.6633844
38000,-5.010711
38100,-4.7329607
38200,-3.5223098
38300,-4.395001
38400,-3.655861
38500,-3.998974
38600,-3.1587658
38700,-6.1028314
38800,-5.119741
38900,-3.887411
39000,-5.4179006
39100,-4.1759915
39200,-5.298482
39300,-7.643025
39400,-3.7974796
39500,-3.1260214
39600,-3.891678
39700,-3.5808978
39800,-4.17449
39900,-4.6764717
40000,-5.4879065
40100,-4.472104
40200,-4.265066
40300,-4.4631267
40400,-2.3642411
40500,-6.5006804
40600,-2.8682766
40700,-5.190698
40800,-4.023504
40900,-3.9324903
41000,-6.7023983
41100,-3.2129297
41200,-5.1500797
41300,-3.7615268
41400,-2.831135
41500,-4.3494954
41600,-4.7389007
41700,-2.6430883
41800,-5.010618
41900,-5.8735948
42000,-3.530327
42100,-4.1363487
42200,-5.203118
42300,-6.9168396
42400,-3.8558695
42500,-5.302469
42600,-3.9139717
42700,-3.1286554
42800,-5.361066
42900,-3.648822
43000,-5.204245
43100,-2.8073995
43200,-5.0411987
43300,-4.332281
43400,-4.8987336
43500,-3.7765474
43600,-3.854685
43700,-3.5284598
43800,-5.6080885
43900,-4.6130223
44000,-3.0581698
44100,-5.425081
44200,-5.9823084
44300,-5.7059436
44400,-4.1922927
44500,-3.533687
44600,-2.716711
44700,-2.3664286
44800,-3.513002
44900,-3.470058
45000,-6.8851542
45100,-2.5998917
45200,-3.4088964
45300,-4.558462
45400,-3.8026593
45500,-3.8198664
45600,-4.241535
45700,-2.4805062
45800,-5.6851287
45900,-4.900135
46000,-4.507293
46100,-6.606723
46200,-3.8721998
46300,-2.5424016
46400,-4.3429966
46500,-2.7308297
46600,-3.2674918
46700,-5.3388557
46800,-3.6033878
46900,-2.9129028
47000,-3.8750253
47100,-3.7436254
47200,-2.8557143
47300,-3.162217
47400,-5.277776
47500,-5.9641786
47600,-2.7401934
47700,-6.072783
47800,-6.2079334
47900,-4.728014
48000,-2.9048038
48100,-2.7411644
48200,-6.6493635
48300,-3.1694899
48400,-3.6324296
48500,-2.8824782
48600,-8.051009
48700,-4.937108
48800,-3.5224042
48900,-4.1594486
49000,-5.234325
49100,-6.755579
49200,-7.4751496
49300,-5.93217
49400,-5.221706
49500,-3.778866
49600,-3.8194366
49700,-3.769674
49800,-6.699856
49900,-2.6742163
50000,-3.2089188
50100,-9.078411
50200,-6.4169326
50300,-5.4262404
50400,-3.1241322
50500,-4.9413137
50600,-4.368035
50700,-4.0656624
50800,-5.000989
50900,-2.87713
51000,-3.7020762
51100,-3.0820735
51200,-2.1502907
51300,-4.1424456
51400,-3.6653378
51500,-3.9484634
51600,-4.4652333
51700,-3.7078037
51800,-3.1325922
51900,-3.3011723
52000,-5.6776543
52100,-3.9391174
52200,-4.5591702
52300,-3.1428638
52400,-2.628821
52500,-6.5223737
52600,-3.5485337
52700,-6.015873
52800,-5.041544
52900,-2.5872052
53000,-5.1595244
53100,-3.4309793
53200,-6.057516
53300,-3.2515597
53400,-2.8801978
53500,-5.532763
53600,-3.0638742
53700,-2.8131673
53800,-3.516483
53900,-3.1747675
54000,-3.1977735
54100,-3.5481787
54200,-2.8443115
54300,-4.65251
54400,-3.158751
54500,-4.618479
54600,-4.89685
54700,-4.5784383
54800,-3.240937
54900,-4.8345103
55000,-3.926433
55100,-4.893141
55200,-3.6809783
55300,-2.9052045
55400,-5.2147846
55500,-5.416149
55600,-2.9187057
55700,-2.5188515
55800,-3.6219451
55900,-2.2744126
56000,-4.70432
56100,-4.50931
56200,-3.098864
56300,-3.0297403
56400,-2.9394593
56500,-2.6909437
56600,-3.4558365
56700,-4.0686197
56800,-4.709847
56900,-5.7071624
57000,-3.7811887
57100,-2.2156909
57200,-2.582384
57300,-4.056951
57400,-4.9449596
57500,-2.7464914
57600,-4.657744
57700,-3.2823281
57800,-3.8438358
57900,-2.70361
58000,-5.7085567
58100,-3.0034707
58200,-3.7624083
58300,-4.440414
58400,-2.9317572
58500,-2.6119928
58600,-4.326222
58700,-6.4047074
58800,-3.604378
58900,-3.9769514
59000,-4.718321
59100,-4.1741
59200,-3.8100195
59300,-3.2712998
59400,-3.231202
59500,-3.4211855
59600,-3.1664398
59700,-4.8646936
59800,-4.237727
59900,-3.6650162
60000,-4.8641768
60100,-5.2073445
60200,-3.4429154
60300,-2.7524977
60400,-2.300971
60500,-2.62877
60600,-3.7932272
60700,-3.3315244
60800,-2.3802361
60900,-4.355888
61000,-2.6456723
61100,-3.1486435
61200,-2.944044
61300,-4.2431726
61400,-4.8181605
61500,-3.074902
61600,-1.9264538
61700,-3.4835443
61800,-3.015293
61900,-2.3967047
62000,-3.1635652
62100,-3.9627051
62200,-5.9501324
62300,-4.072922
62400,-2.2490292
62500,-4.251036
62600,-2.1945362
62700,-4.896997
62800,-3.4237585
62900,-6.470986
63000,-3.9751022
63100,-3.7708178
63200,-4.256792
63300,-3.5686517
63400,-4.2453294
63500,-3.916734
63600,-2.7207172
63700,-4.801787
63800,-2.5431204
63900,-4.7819705
64000,-3.4870539
64100,-4.0012527
64200,-4.4376583
64300,-4.7976947
64400,-4.095783
64500,-4.9334607
64600,-2.6732318
64700,-4.713688
64800,-6.129512
64900,-5.9132123
65000,-3.6260662
65100,-5.447242
65200,-2.5507956
65300,-3.4705167
65400,-2.6751423
65500,-5.2858653
65600,-2.3184464
65700,-3.8536572
65800,-4.770249
65900,-3.660582
66000,-3.3239715
66100,-3.0487347
66200,-3.8167691
66300,-5.4507275
66400,-2.9563928
66500,-3.6565275
66600,-4.504651
66700,-2.1185317
66800,-3.511442
66900,-4.9938507
67000,-2.9884026
67100,-3.797745
67200,-3.6787276
67300,-2.7417274
67400,-3.5292666
67500,-2.783139
67600,-4.4387393
67700,-3.1077769
67800,-2.7274156
67900,-6.480755
68000,-4.6965437
68100,-4.2722335
68200,-4.1953053
68300,-4.4890814
68400,-2.583448
68500,-2.7698572
68600,-2.9859824
68700,-5.1697345
68800,-2.3176246
68900,-2.8522866
69000,-2.9391394
69100,-5.72993
69200,-3.186227
69300,-2.721697
69400,-2.9253473
69500,-2.753311
69600,-3.2279305
69700,-3.2736526
69800,-4.1784205
69900,-2.6223872
70000,-3.7869992
70100,-2.848925
70200,-5.107709
70300,-3.7097723
70400,-3.1083255
70500,-2.8861823
70600,-5.377921
70700,-2.2950845
70800,-2.9001603
70900,-3.499785
71000,-3.0296786
71100,-3.704335
71200,-3.704202
71300,-2.9921827
71400,-3.5616033
71500,-6.4479036
71600,-3.2647295
71700,-3.165897
71800,-3.0715199
71900,-4.718785
72000,-5.568137
72100,-3.774097
72200,-4.017379
72300,-5.8427606
72400,-3.0904574
72500,-6.397709
72600,-4.7777715
72700,-2.4752574
72800,-3.9387314
72900,-3.8985574
73000,-3.6927457
73100,-3.0137331
73200,-4.427664
73300,-3.485853
73400,-4.786569
73500,-3.1744723
73600,-3.8792772
73700,-4.845268
73800,-3.9788694
73900,-3.371845
74000,-3.4498446
74100,-4.108489
74200,-3.6283295
74300,-3.5034738
74400,-6.10251
74500,-2.7822485
74600,-3.8519945
74700,-3.8734293
74800,-4.262326
74900,-4.5406923
75000,-4.1463823
75100,-3.8568823
75200,-4.9753413
75300,-5.1213355
75400,-3.4144988
75500,-4.01514
75600,-3.90417
75700,-4.6489024
75800,-4.1879163
75900,-3.3633332
76000,-2.2856138
76100,-4.0841737
76200,-2.8167155
76300,-3.177103
76400,-3.1128292
76500,-5.7403502
76600,-3.908298
76700,-4.0699196
76800,-3.49112
76900,-3.7563074
77000,-3.5657794
77100,-5.343681
77200,-4.036569
77300,-3.1578052
77400,-3.314516
77500,-3.673716
77600,-3.6103382
77700,-3.901787
77800,-3.7443595
77900,-3.4784753
78000,-3.1144571
78100,-3.3665972
78200,-4.6849957
78300,-2.6155577
78400,-2.8032978
78500,-3.8907664
78600,-2.5461397
78700,-2.6680036
78800,-3.6027415
78900,-3.8456533
79000,-3.2156641
79100,-4.585709
79200,-3.5610397
79300,-2.291141
79400,-3.7867959
79500,-3.3931043
79600,-2.6175272
79700,-2.8049924
79800,-4.24864
79900,-3.4212556
80000,-3.931109
80100,-3.6432896
80200,-4.028513
80300,-3.6671524
80400,-4.9017487
80500,-2.7542562
80600,-3.672107
80700,-4.0026045
80800,-3.6630087
80900,-3.1564016
81000,-3.290283
81100,-2.6003175
81200,-4.541607
81300,-3.6367998
81400,-4.2215776
81500,-5.6042924
81600,-3.5567265
81700,-2.8876824
81800,-3.453643
81900,-2.9157627
82000,-4.5232487
82100,-2.2918339
82200,-3.5453286
82300,-4.374511
82400,-3.8682597
82500,-3.4429138
82600,-3.0865586
82700,-2.5662272
82800,-3.3761988
82900,-3.8035069
83000,-2.8621716
83100,-4.5250916
83200,-3.122471
83300,-4.1411448
83400,-4.6160264
83500,-3.8434567
83600,-3.3783972
83700,-3.9309576
83800,-3.3229287
83900,-2.493405
84000,-3.0737293
84100,-2.577689
84200,-3.4208875
84300,-2.5966797
84400,-3.0232399
84500,-2.6401062
84600,-2.9660275
84700,-5.064719
84800,-3.5899427
84900,-4.5819817
85000,-4.5618696
85100,-3.9655323
85200,-3.4100819
85300,-5.3222737
85400,-2.9965045
85500,-3.6587052
85600,-2.8065436
85700,-3.8270981
85800,-5.068898
85900,-2.9714823
86000,-2.7350028
86100,-3.0594568
86200,-3.9531078
86300,-3.6721554
86400,-3.6465836
86500,-3.7240307
86600,-2.5229807
86700,-2.9767823
86800,-2.1378832
86900,-4.8463364
87000,-3.7326133
87100,-2.9967692
87200,-2.8966703
87300,-3.2980313
87400,-2.931378
87500,-3.4491084
87600,-4.5630765
87700,-3.5552554
87800,-3.3346796
87900,-3.7540271
88000,-2.4387984
88100,-3.2210588
88200,-3.3868365
88300,-3.9679961
88400,-3.5534112
88500,-5.0626893
88600,-3.2528734
88700,-5.2198706
88800,-2.845685
88900,-3.576661
89000,-2.787084
89100,-4.179327
89200,-2.6671283
89300,-4.445851
89400,-2.824399
89500,-4.587897
89600,-3.7634854
89700,-2.3225803
89800,-3.4569874
89900,-2.626746
90000,-3.1247153
90100,-3.1544662
90200,-3.950189
90300,-3.1611435
90400,-3.8787613
90500,-3.3408828
90600,-2.7424567
90700,-4.346992
90800,-2.6640832
90900,-4.2152452
91000,-3.180818
91100,-2.824586
91200,-4.3234572
91300,-3.2911694
91400,-2.6307745
91500,-3.134481
91600,-3.1470137
91700,-3.368136
91800,-3.471631
91900,-2.834051
92000,-4.0672917
92100,-2.4145184
92200,-2.925051
92300,-3.3812878
92400,-2.8802893
92500,-3.9526207
92600,-3.6964948
92700,-3.1732519
92800,-3.9266005
92900,-3.6781008
93000,-3.1064115
93100,-3.8966794
93200,-4.5366764
93300,-4.4070125
93400,-3.150494
93500,-3.543699
93600,-3.4435494
93700,-3.9078693
93800,-2.9587777
93900,-4.4528303
94000,-4.038439
94100,-5.64685
94200,-4.332678
94300,-2.924428
94400,-4.043521
94500,-2.5646534
94600,-3.2552524
94700,-3.1831264
94800,-3.275569
94900,-3.3558216
95000,-2.500001
95100,-3.3014503
95200,-3.7044659
95300,-2.9674172
95400,-3.9245565
95500,-3.453173
95600,-3.9967651
95700,-2.5860415
95800,-3.2895224
95900,-3.004314
96000,-3.2595782
96100,-4.45605
96200,-2.914272
96300,-4.1357484
96400,-2.6334674
96500,-4.501209
96600,-3.0274296
96700,-2.9224875
96800,-4.0375175
96900,-2.7012558
97000,-3.931971
97100,-3.5703008
97200,-4.400648
97300,-4.3229804
97400,-2.4779732
97500,-3.6327126
97600,-4.2917814
97700,-3.8720462
97800,-3.6689737
97900,-3.4684973
98000,-3.3037152
98100,-2.6996393
98200,-4.6693
98300,-3.290356
98400,-3.474632
98500,-3.1231267
98600,-3.5921
98700,-3.6574862
98800,-2.6718998
98900,-2.8539832
99000,-3.1229925
99100,-2.8354223
99200,-4.1910653
99300,-3.0065534
99400,-2.7985022
99500,-4.5316133
99600,-3.245863
99700,-3.421159
99800,-2.9350443
99900,-3.225514
100000,-4.2728915
100100,-3.6062434
100200,-4.0801754
100300,-3.121739
