timestep,average_reward
100,-4.650981
200,-141.23882
300,-139.05586
400,-145.67587
500,-140.10144
600,-145.56981
700,-141.56485
800,-114.42066
900,-2.5598342
1000,-3.0071528
1100,-3.468365
1200,-6.2907777
1300,-3.2301927
1400,-5.468155
1500,-5.044786
1600,-3.1166766
1700,-5.1077943
1800,-2.9984546
1900,-5.3229017
2000,-5.8341537
2100,-5.9277153
2200,-5.756742
2300,-5.7756214
2400,-5.807556
2500,-6.14555
2600,-7.0267634
2700,-3.41048
2800,-3.4486833
2900,-6.865018
3000,-5.7186537
3100,-3.4102879
3200,-6.5352044
3300,-6.2238836
3400,-6.66199
3500,-6.6970973
3600,-6.4764705
3700,-3.2822506
3800,-3.2539194
3900,-6.0489497
4000,-5.323342
4100,-3.705617
4200,-5.943236
4300,-6.2373686
4400,-5.4531965
4500,-5.1146064
4600,-5.467011
4700,-5.0676026
4800,-3.3485208
4900,-4.931913
5000,-5.757707
5100,-5.177727
5200,-4.7077293
5300,-4.9358897
5400,-5.625037
5500,-4.6365733
5600,-5.244879
5700,-5.3499575
5800,-5.3062744
5900,-3.3351803
6000,-3.1486127
6100,-5.5930595
6200,-3.2226868
6300,-5.55799
6400,-5.7586803
6500,-3.251273
6600,-5.082981
6700,-3.1488125
6800,-4.9245625
6900,-5.640874
7000,-3.3234434
7100,-5.613811
7200,-6.045491
7300,-2.9403973
7400,-5.81322
7500,-5.720156
7600,-5.6365776
7700,-3.284766
7800,-5.755545
7900,-5.694889
8000,-5.33097
8100,-6.2111745
8200,-6.2818346
8300,-5.330453
8400,-6.1759934
8500,-6.3203707
8600,-3.0266747
8700,-6.2831516
8800,-6.0748906
8900,-5.8844366
9000,-6.09771
9100,-5.4083934
9200,-5.87447
9300,-6.578672
9400,-6.1444354
9500,-6.1887836
9600,-7.2073197
9700,-6.180521
9800,-6.7275157
9900,-7.2011433
10000,-2.77769
10100,-3.026393
10200,-3.2782373
10300,-6.0953693
10400,-5.5122185
10500,-7.0695553
10600,-5.632107
10700,-6.586115
10800,-3.1515927
10900,-7.1807985
11000,-7.198732
11100,-2.8404496
11200,-2.6226773
11300,-5.643864
11400,-7.3899126
11500,-6.187256
11600,-6.900765
11700,-6.871668
11800,-7.2539024
11900,-7.219295
12000,-5.8160796
12100,-2.740376
12200,-6.8999386
12300,-2.8684456
12400,-3.0649512
12500,-6.8838
12600,-5.738506
12700,-6.3747573
12800,-2.530841
12900,-2.496462
13000,-5.5651326
13100,-2.5957148
13200,-5.5809493
13300,-6.931313
13400,-2.9584234
13500,-7.121886
13600,-2.7771893
13700,-7.55049
13800,-2.7517
13900,-7.000015
14000,-7.0886946
14100,-6.3595977
14200,-2.46404
14300,-5.724674
14400,-5.723044
14500,-5.6730366
14600,-6.257207
14700,-2.5967677
14800,-7.151189
14900,-2.5475762
15000,-6.8108478
15100,-6.5079827
15200,-5.9703918
15300,-7.805207
15400,-5.8919888
15500,-5.94992
15600,-2.5627244
15700,-7.103847
15800,-2.9109125
15900,-2.8875973
16000,-2.7547817
16100,-2.7797506
16200,-5.746832
16300,-6.3850594
16400,-5.9892826
16500,-7.4517736
16600,-7.43315
16700,-6.003677
16800,-5.8864837
16900,-2.7881658
17000,-2.7346182
17100,-7.9014044
17200,-2.8721027
17300,-7.765557
17400,-3.0674639
17500,-7.1920333
17600,-2.7928193
17700,-6.43439
17800,-6.63927
17900,-3.3987448
18000,-8.525792
18100,-8.54546
18200,-2.9976232
18300,-7.8640785
18400,-8.182779
18500,-8.5626135
18600,-8.530806
18700,-7.0370293
18800,-8.528903
18900,-3.4551733
19000,-7.654412
19100,-8.297962
19200,-3.459942
19300,-6.874464
19400,-3.3912508
19500,-8.538654
19600,-8.433372
19700,-8.466942
19800,-3.3615077
19900,-7.0254765
20000,-6.9395857
20100,-7.806257
20200,-7.0567713
20300,-8.487661
20400,-8.120766
20500,-3.0689712
20600,-5.742816
20700,-2.961342
20800,-2.693183
20900,-5.6187677
21000,-2.786128
21100,-7.861006
21200,-2.326407
21300,-2.249273
21400,-2.5559418
21500,-7.3822474
21600,-7.056701
21700,-7.6113753
21800,-7.190266
21900,-7.7937555
22000,-6.583411
22100,-3.0476987
22200,-2.3379486
22300,-2.8984323
22400,-2.3540308
22500,-2.2580552
22600,-2.6356766
22700,-5.834445
22800,-7.101841
22900,-5.1896935
23000,-7.2089763
23100,-2.102161
23200,-6.3456774
23300,-2.1225007
23400,-2.2350578
23500,-2.1592774
23600,-2.1148336
23700,-7.8873653
23800,-3.6467893
23900,-3.3681333
24000,-2.1315687
24100,-2.3917887
24200,-2.2069085
24300,-8.845628
24400,-9.181465
24500,-3.0443587
24600,-8.236715
24700,-6.088643
24800,-7.2173705
24900,-5.2682996
25000,-4.496462
25100,-2.065467
25200,-3.3065674
25300,-1.8804849
25400,-7.1262946
25500,-2.0528321
25600,-6.6760664
25700,-7.103037
25800,-6.5837793
25900,-2.7454953
26000,-1.837355
26100,-1.6780081
26200,-1.6493181
26300,-1.8048493
26400,-3.3098536
26500,-3.2296906
26600,-3.1491654
26700,-3.1798213
26800,-3.220545
26900,-1.8160272
27000,-3.2340357
27100,-3.7745512
27200,-1.6585557
27300,-3.7664807
27400,-2.6915188
27500,-2.6388993
27600,-1.9971037
27700,-1.8161361
27800,-1.6567606
27900,-2.6721625
28000,-3.2461658
28100,-2.7490041
28200,-3.0005076
28300,-3.109002
28400,-1.8096378
28500,-2.6794634
28600,-3.3333144
28700,-3.7589257
28800,-1.988628
28900,-3.3351383
29000,-3.280352
29100,-3.3611414
29200,-2.672419
29300,-2.9905856
29400,-3.3286881
29500,-3.177568
29600,-2.7480862
29700,-3.3526032
29800,-1.8291559
29900,-1.9987655
30000,-1.8288075
30100,-3.1111808
30200,-1.8270264
